Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country
39.0,7,13.0,4,1,0,4,1,2174.0,0.0,40.0,39
50.0,6,13.0,2,4,4,4,1,0.0,0.0,13.0,39
38.0,4,9.0,0,6,0,4,1,0.0,0.0,40.0,39
53.0,4,7.0,2,6,4,2,1,0.0,0.0,40.0,39
28.0,4,13.0,2,10,5,2,0,0.0,0.0,40.0,5
37.0,4,14.0,2,4,5,4,0,0.0,0.0,40.0,39
49.0,4,5.0,3,8,0,2,0,0.0,0.0,16.0,23
52.0,6,9.0,2,4,4,4,1,0.0,0.0,45.0,39
31.0,4,14.0,4,10,0,4,0,14084.0,0.0,50.0,39
42.0,4,13.0,2,4,4,4,1,5178.0,0.0,40.0,39
37.0,4,10.0,2,4,4,2,1,0.0,0.0,80.0,39
30.0,7,13.0,2,10,4,1,1,0.0,0.0,40.0,19
23.0,4,13.0,4,1,3,4,0,0.0,0.0,30.0,39
32.0,4,12.0,4,12,0,2,1,0.0,0.0,50.0,39
40.0,4,11.0,2,3,4,1,1,0.0,0.0,40.0,0
34.0,4,4.0,2,14,4,0,1,0.0,0.0,45.0,26
25.0,6,9.0,4,5,3,4,1,0.0,0.0,35.0,39
32.0,4,9.0,4,7,1,4,1,0.0,0.0,40.0,39
38.0,4,7.0,2,12,4,4,1,0.0,0.0,50.0,39
43.0,6,14.0,0,4,1,4,0,0.0,0.0,45.0,39
40.0,4,16.0,2,10,4,4,1,0.0,0.0,60.0,39
54.0,4,9.0,5,8,1,2,0,0.0,0.0,20.0,39
35.0,1,5.0,2,5,4,2,1,0.0,0.0,40.0,39
43.0,4,7.0,2,14,4,4,1,0.0,2042.0,40.0,39
59.0,4,9.0,0,13,1,4,0,0.0,0.0,40.0,39
56.0,2,13.0,2,13,4,4,1,0.0,0.0,40.0,39
19.0,4,9.0,4,3,3,4,1,0.0,0.0,40.0,39
54.0,0,10.0,2,0,4,1,1,0.0,0.0,60.0,35
39.0,4,9.0,0,4,0,4,1,0.0,0.0,80.0,39
49.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
23.0,2,12.0,4,11,0,4,1,0.0,0.0,52.0,39
20.0,4,10.0,4,12,3,2,1,0.0,0.0,44.0,39
45.0,4,13.0,0,4,3,4,1,0.0,1408.0,40.0,39
30.0,1,10.0,2,1,3,4,1,0.0,0.0,40.0,39
22.0,7,10.0,2,8,4,2,1,0.0,0.0,15.0,39
48.0,4,7.0,4,7,1,4,1,0.0,0.0,40.0,33
21.0,4,10.0,4,7,3,4,1,0.0,0.0,40.0,39
19.0,4,9.0,1,1,5,4,0,0.0,0.0,25.0,39
31.0,4,10.0,2,12,4,4,1,0.0,0.0,38.0,0
48.0,6,12.0,2,10,4,4,1,0.0,0.0,40.0,39
31.0,4,5.0,2,7,4,4,1,0.0,0.0,43.0,39
53.0,6,13.0,2,10,4,4,1,0.0,0.0,40.0,39
24.0,4,13.0,2,13,4,4,1,0.0,0.0,50.0,39
49.0,4,9.0,5,1,1,4,0,0.0,0.0,40.0,39
25.0,4,9.0,4,6,0,4,1,0.0,0.0,35.0,39
57.0,1,13.0,2,10,4,2,1,0.0,0.0,40.0,39
53.0,4,9.0,2,7,4,4,1,0.0,0.0,38.0,39
44.0,4,14.0,0,4,1,4,0,0.0,0.0,40.0,39
41.0,7,11.0,2,3,4,4,1,0.0,0.0,40.0,39
29.0,4,11.0,4,10,0,4,1,0.0,0.0,43.0,39
25.0,4,10.0,2,4,5,3,0,0.0,0.0,40.0,39
18.0,4,9.0,4,8,3,4,0,0.0,0.0,30.0,0
47.0,4,15.0,2,10,5,4,0,0.0,1902.0,60.0,16
50.0,1,13.0,0,4,0,4,1,0.0,0.0,55.0,39
47.0,5,9.0,0,4,0,4,1,0.0,0.0,60.0,39
43.0,4,10.0,2,13,4,4,1,0.0,0.0,40.0,39
46.0,4,3.0,2,7,4,4,1,0.0,0.0,40.0,26
35.0,4,11.0,2,8,4,4,1,0.0,0.0,40.0,33
41.0,4,9.0,2,1,4,4,1,0.0,0.0,48.0,39
30.0,4,9.0,2,7,4,4,1,5013.0,0.0,40.0,39
30.0,4,13.0,2,12,4,4,1,2407.0,0.0,40.0,39
32.0,0,4.0,3,0,0,4,1,0.0,0.0,40.0,0
48.0,4,9.0,2,14,4,4,1,0.0,0.0,40.0,39
42.0,4,16.0,2,10,4,4,1,0.0,0.0,45.0,39
29.0,4,10.0,0,13,0,4,1,0.0,0.0,58.0,39
36.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
28.0,4,10.0,0,1,0,4,0,0.0,0.0,40.0,39
53.0,4,9.0,2,1,5,4,0,0.0,0.0,40.0,39
49.0,5,10.0,2,4,4,4,1,0.0,0.0,50.0,39
25.0,0,10.0,4,0,3,4,1,0.0,0.0,40.0,39
19.0,4,10.0,4,10,3,4,1,0.0,0.0,32.0,39
31.0,4,13.0,5,12,3,2,0,0.0,0.0,40.0,39
29.0,6,13.0,2,12,4,4,1,0.0,0.0,70.0,39
23.0,4,10.0,4,7,0,4,1,0.0,0.0,40.0,39
79.0,4,10.0,2,10,2,4,1,0.0,0.0,20.0,39
27.0,4,9.0,4,8,3,4,1,0.0,0.0,40.0,26
40.0,4,12.0,2,1,4,4,1,0.0,0.0,40.0,39
67.0,0,6.0,2,0,4,4,1,0.0,0.0,2.0,39
18.0,4,7.0,4,8,3,4,0,0.0,0.0,22.0,39
31.0,2,4.0,2,5,4,4,1,0.0,0.0,40.0,39
18.0,4,9.0,4,12,0,4,1,0.0,0.0,30.0,39
52.0,4,13.0,2,8,4,4,1,0.0,0.0,40.0,5
46.0,4,9.0,2,8,5,4,0,0.0,0.0,40.0,39
59.0,4,9.0,2,12,4,4,1,0.0,0.0,48.0,39
44.0,4,9.0,0,3,0,4,0,14344.0,0.0,40.0,39
